bcat,kras,label
0.0016567641,0.9983432,1
0.7375207,0.26247934,1
0.105759904,0.8942401,1
0.00088503544,0.99911493,1
0.0013940339,0.998606,1
0.56342244,0.43657756,1
0.0011966594,0.9988034,1
0.8033139,0.19668604,1
0.6667279,0.33327204,1
0.62219244,0.3778076,1
0.7816917,0.21830831,1
0.51917845,0.48082158,1
0.62664527,0.3733548,1
0.0015193818,0.9984806,1
0.0019772265,0.9980228,1
0.0013090812,0.9986909,1
0.009130913,0.99086916,1
0.5007569,0.49924302,1
0.6064246,0.3935754,1
0.08521157,0.9147884,1
0.0012274688,0.99877256,1
0.011097846,0.98890215,1
0.011800921,0.9881991,1
0.00088694546,0.999113,1
0.0039785192,0.99602145,1
0.708776,0.29122394,1
0.48140568,0.51859426,1
0.739453,0.26054695,1
0.20427209,0.7957279,1
0.18563572,0.8143643,1
0.63001746,0.36998257,1
0.0017481636,0.99825186,1
0.08378744,0.9162126,1
0.6726096,0.32739037,1
0.6452135,0.35478655,1
0.0022492497,0.9977507,1
0.002685033,0.997315,1
0.004673539,0.9953264,1
0.80047053,0.19952948,1
0.6878345,0.31216556,1
0.0012021649,0.9987978,1
0.0031392302,0.99686074,1
0.011899335,0.98810065,1
0.58928216,0.41071787,1
0.674651,0.32534894,1
0.15773359,0.84226644,1
0.0013832444,0.9986167,1
0.6669209,0.3330791,1
0.7920323,0.20796774,1
0.34727928,0.6527207,1
0.011932595,0.9880674,1
0.003169834,0.99683017,1
0.45964122,0.5403587,1
0.7088782,0.29112178,1
0.57172084,0.42827913,1
0.32230523,0.67769474,1
0.17341636,0.8265836,1
0.02694604,0.973054,1
0.72625947,0.27374053,1
0.5750429,0.4249571,1
0.6095808,0.3904192,1
0.0012168023,0.9987832,1
0.695838,0.30416203,1
0.6307029,0.3692971,1
0.013884975,0.986115,1
0.00070384506,0.9992962,1
0.5815007,0.41849932,1
0.5397421,0.46025792,1
0.6235186,0.37648138,1
0.7797108,0.22028916,1
0.201679,0.79832095,1
0.0009873252,0.9990127,1
0.0014987612,0.9985013,1
0.6746489,0.32535112,1
0.0016539822,0.998346,1
0.6506927,0.34930727,1
0.7032807,0.29671934,1
0.39954895,0.6004511,1
